year,ep_ratio,u_rate,gdp,gdp_capita,fdr_12mo,blr,alr,exchange_rate,gdp_ma,ep_ratio_ma,exchange_rate_ma,gdp_pct_change,ep_ratio_pct_change,exchange_rate_pct_change
1982,62.7,3.4,184667.264,12604.099,10.48,8.5,12.395,2.33539166583333,184667.264,62.7,2.33539166583333,0.0,0.0,0.0
1983,63.2,3.8,196213.087,13039.86,8.75,11.020833333333334,11.775,2.32124999916667,190440.1755,62.95,2.3283208325,0.06252230498200273,0.00797448165869219,-0.006055372584201413
1984,62.0,5.0,211442.735,13684.346,9.615,11.354166666666666,12.21,2.34364166616667,203827.911,62.6,2.33244583266667,0.07761790119534684,-0.01898734177215189,0.009646383202170705
1985,62.0,5.6,209274.918,13175.348,9.291666666666666,11.541666666666666,12.5525,2.48304166666667,210358.8265,62.0,2.4133416664166703,-0.010252501699810068,0.0,0.0594800828609634
1986,61.2,7.4,211871.172,12973.946,7.416666666666667,10.6875,12.23,2.58144166666667,210573.04499999998,61.6,2.5322416666666703,0.012405949192630938,-0.012903225806451535,0.0396288154649036
1987,61.7,7.3,222871.38,13286.801,4.5,8.1875,10.3625,2.51963833333333,217371.276,61.45,2.55054,0.05191932388045695,0.008169934640522847,-0.02394140225261987
1988,62.0,7.2,245019.713,14229.576,4.24,7.25,9.3,2.61878333333333,233945.5465,61.85,2.56921083333333,0.0993771968388224,0.004862236628849326,0.03934890126426871
1989,62.4,5.7,267217.521,15128.372,5.202500000000001,6.995833333333333,8.895833333333334,2.70884166666667,256118.617,62.2,2.6638124999999997,0.09059600849340654,0.006451612903225712,0.03438937929191299
1990,63.6,4.5,291289.883,16090.387,6.214166666666666,7.156666666666666,8.785833333333334,2.704875,279253.702,63.0,2.7068583333333347,0.09008526802402295,0.019230769230769384,-0.0014643405391615572
1992,63.5,3.7,347446.82,18223.312,8.031666666666666,9.214999999999998,10.161666666666669,2.54738333333333,319368.3515,63.55,2.626129166666665,0.19278711784164515,-0.0015723270440252124,-0.058225118227892336
1993,63.8,4.1,381826.485,19479.429,6.954166666666668,8.852500000000001,10.030833333333332,2.574095,364636.65249999997,63.65,2.560739166666665,0.09894943059199668,0.0047244094488188,0.010485923463948055
1995,62.7,3.1,457987.835,22145.584,6.502499999999999,7.440833333333333,8.729999999999999,2.50440416666667,419907.16000000003,63.25,2.539249583333335,0.1994658647107732,-0.01724137931034475,-0.027073916593338576
1996,64.6,2.5,503798.988,23737.032,7.180000000000001,8.8925,9.943333333333332,2.5159425,480893.41150000005,63.65,2.510173333333335,0.10002700835929401,0.030303030303030276,0.004607216952800197
1997,64.0,2.4,540690.887,24836.478,7.827500000000001,9.531666666666668,10.6275,2.81319166666667,522244.9375,64.3,2.664567083333335,0.07322741783673448,-0.009287925696594312,0.11814624804289853
1998,62.2,3.2,500899.2,22428.692,8.563333333333334,10.6125,12.156666666666666,3.924375,520795.0435,63.1,3.368783333333335,-0.07359415140281433,-0.028124999999999956,0.39499026905975554
1999,62.0,3.4,531642.449,23206.549,4.286666666666667,7.285833333333335,8.561666666666666,3.8,516270.82450000005,62.1,3.8621875,0.06137611918725372,-0.003215434083601365,-0.031692944736423034
2000,63.4,3.0,578739.953,24632.104,0.0,6.771666666666667,7.6741666666666655,3.8,555191.201,62.7,3.8,0.08858868227807748,0.022580645161290214,0.0
2001,62.6,3.5,581735.947,24208.28,4.0,6.6575,7.125,3.8,580237.95,63.0,3.8,0.005176753366464171,-0.012618296529968376,0.0
2002,62.1,3.5,613097.264,24981.23,4.0,6.390000000000001,6.605833333333333,3.8,597416.6055000001,62.35,3.8,0.053909883275615966,-0.007987220447284393,0.0
2003,62.9,3.6,648586.394,25903.574,3.799166666666668,6.13,6.299166666666667,3.8,630841.8289999999,62.5,3.8,0.057884991638129435,0.012882447665056418,0.0
2004,62.1,3.5,692582.849,27116.586,3.7000000000000006,5.986666666666668,6.047499999999999,3.8,670584.6215,62.5,3.8,0.06783437859166708,-0.012718600953894987,0.0
2005,61.0,3.5,729512.33,28008.077,3.7000000000000006,5.998333333333335,5.95,3.78709166666667,711047.5895,61.55,3.7935458333333347,0.05332139115677115,-0.017713365539452464,-0.003396929824560413
